days,Suit 1,Suit 2,Suit 3,Suit 4,Suit 5,Suit 6,Suit 7,Suit 8,Suit 9,Suit 10,Suit 11,Suit 12,Suit 13,Suit 14,Suit 15,Suit 16,Suit 17,Suit 18,Suit 19,Suit 20
1,8,6,14,11,3,8,3,9,12,8,7,7,9,6,3,6,3,2,8,1
2,6,11,4,2,12,15,0,2,9,6,11,7,0,9,7,7,3,12,12,13
3,9,4,11,3,3,11,8,3,4,3,10,4,0,5,13,9,0,2,15,11
4,9,13,7,1,10,2,10,4,7,6,4,5,12,7,0,14,2,0,2,11
5,15,10,8,6,5,14,6,8,7,5,11,15,13,5,0,4,7,6,4,1
6,1,12,9,3,1,5,2,2,3,0,12,15,14,4,11,11,8,4,4,1
7,5,11,8,4,9,6,15,13,8,5,15,8,7,7,12,13,12,12,12,0
8,3,14,4,4,12,0,1,6,7,6,10,1,10,14,1,11,14,10,14,9
9,3,4,12,0,2,8,2,14,1,4,7,12,5,8,8,2,1,2,2,10
10,12,5,0,10,7,9,12,10,7,0,10,14,6,11,9,5,3,15,5,15
11,5,14,2,1,11,6,6,1,4,4,11,8,4,14,11,12,11,0,10,12
12,12,7,12,10,1,5,0,9,13,12,7,4,2,12,6,1,6,6,9,3
13,9,12,6,9,3,1,7,0,5,13,5,13,14,10,14,13,11,7,14,6
14,5,11,1,9,1,1,0,14,15,0,13,13,7,9,0,8,8,0,12,13
15,6,8,2,10,9,9,4,2,4,13,1,10,12,6,2,1,2,3,5,2
16,2,1,2,11,11,10,3,15,14,0,6,11,13,3,10,0,6,14,2,13
17,0,1,13,4,10,2,13,0,14,15,13,6,0,13,15,9,10,11,8,15
18,7,12,12,14,8,1,14,3,14,13,13,3,10,14,1,8,6,8,15,12
19,4,9,15,1,12,14,5,12,4,10,3,5,7,15,8,3,0,15,9,6
20,10,11,4,3,2,5,5,10,4,9,11,1,5,14,13,8,10,14,13,12
21,6,10,9,14,7,12,11,3,13,15,15,7,0,0,5,14,7,2,9,8
22,14,12,2,6,10,12,0,1,0,1,12,7,9,0,13,5,6,11,1,10
23,15,11,13,11,15,3,5,15,11,14,8,14,9,4,14,3,2,1,2,1
24,1,11,5,14,3,4,0,6,3,6,11,9,15,3,4,13,14,1,14,13
25,13,1,12,15,8,12,8,8,1,1,6,12,5,15,1,13,2,6,1,6
26,8,9,12,3,12,3,3,4,12,13,15,0,11,13,2,15,4,8,10,15
27,14,8,2,11,8,2,4,0,1,2,15,13,12,2,15,6,3,3,11,2
28,14,4,4,4,14,12,8,2,14,2,15,6,8,3,12,3,11,6,9,4
29,3,10,14,15,3,14,13,1,10,3,11,13,5,14,10,1,6,9,5,1
30,12,3,11,0,14,14,10,0,9,1,14,9,0,15,2,8,4,8,9,15
